City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Atuona,-9.8,-139.0333,77.95,66,100,12.84,PF,1628099841
Bambous Virieux,-20.3428,57.7575,70.05,68,75,22.44,MU,1628099842
Chokurdakh,70.6333,147.9167,36.41,91,75,11.12,RU,1628099842
Polunochnoye,60.8697,60.4153,62.98,99,70,2.68,RU,1628099843
Bethel,41.3712,-73.414,76.1,71,100,4.36,US,1628099843
Constitución,-35.3333,-72.4167,57.79,76,51,13.2,CL,1628099843
Tiksi,71.6872,128.8694,40.28,89,1,8.88,RU,1628099844
Punta Arenas,-53.15,-70.9167,57.31,44,0,8.05,CL,1628099555
Busselton,-33.65,115.3333,48.04,90,1,6.22,AU,1628099844
East London,-33.0153,27.9116,63.54,88,20,4.61,ZA,1628099845
Guararé,7.8167,-80.2833,87.37,70,89,7.05,PA,1628099845
Zhezkazgan,47.8043,67.7144,81.07,35,40,7.31,KZ,1628099846
Saint-Philippe,-21.3585,55.7679,67.55,78,95,16.51,RE,1628099775
Harlingen,26.1906,-97.6961,93.97,62,11,8.1,US,1628099754
Klaksvík,62.2266,-6.589,58.12,96,81,8.9,FO,1628099846
Kumul,42.8,93.45,86.85,11,4,5.7,CN,1628099847
Vaini,-21.2,-175.2,64.56,77,40,4.61,TO,1628099847
Coquimbo,-29.9533,-71.3436,60.53,72,40,11.5,CL,1628099835
Lata,40.1629,-8.3327,83.05,60,22,10.63,PT,1628099848
Hays,30.0502,-98.0336,90.61,58,53,1.01,US,1628099848
Matara,5.9485,80.5353,78.53,87,91,11.68,LK,1628099849
Tasiilaq,65.6145,-37.6368,43.54,75,96,0.76,GL,1628099849
‘Āhuimanu,21.4447,-157.8378,78.85,72,27,18.7,US,1628099850
Thinadhoo,0.5333,72.9333,82.2,76,100,5.86,MV,1628099850
Fortuna,40.5982,-124.1573,52.14,53,28,5.75,US,1628099850
Bemidji,47.4736,-94.8803,80.26,51,1,11.5,US,1628099641
Lieto,60.5103,22.4618,64.96,47,0,5.75,FI,1628099851
Qaanaaq,77.484,-69.3632,45.46,68,72,3.11,GL,1628099851
Rawson,-43.3002,-65.1023,67.8,30,14,24.99,AR,1628099668
Caernarfon,53.1413,-4.2702,68.72,68,36,17.27,GB,1628099852
Saldanha,-33.0117,17.9442,57.25,92,6,11.36,ZA,1628099852
Ulu-Telyak,54.9086,56.9669,66.4,73,64,6.33,RU,1628099853
Mehamn,71.0357,27.8492,48.15,81,40,24.16,NO,1628099853
Katsuura,35.1333,140.3,77.14,88,3,3.85,JP,1628099853
Barrow,71.2906,-156.7887,44.62,93,40,8.05,US,1628099629
Nuuk,64.1835,-51.7216,47.93,86,64,7.67,GL,1628099854
Illapel,-31.6308,-71.1653,73.67,33,0,5.26,CL,1628099854
Mataura,-46.1927,168.8643,35.47,86,100,2.68,NZ,1628099855
Cape Town,-33.9258,18.4232,59.88,87,20,5.01,ZA,1628099730
Härnösand,62.6323,17.9379,66.22,67,55,12.46,SE,1628099856
Olafsvik,64.8945,-23.7142,54.52,86,93,4.81,IS,1628099856
Albany,42.6001,-73.9662,79.14,59,100,1.01,US,1628099777
Durban,-29.8579,31.0292,67.01,79,0,5.88,ZA,1628099809
Reno,39.5296,-119.8138,95.23,17,1,1.01,US,1628099814
Bonabeerie,4.0779,9.6759,82.36,78,75,5.75,CM,1628099857
Sassandra,4.95,-6.0833,76.75,86,100,10.22,CI,1628099858
Kapaa,22.0752,-159.319,80.58,78,36,4.0,US,1628099858
Chui,-33.6971,-53.4616,58.95,68,57,6.15,UY,1628099858
Vao,-22.6667,167.4833,69.19,74,60,13.29,NC,1628099859
Marabu,4.4148,114.0089,78.94,89,20,3.44,MY,1628099859
Husavik,66.0449,-17.3389,57.11,75,74,5.73,IS,1628099860
Hasaki,35.7333,140.8333,73.8,89,0,1.79,JP,1628099860
Muroto-misakicho,33.2833,134.15,79.74,84,1,2.42,JP,1628099861
Castro,-24.7911,-50.0119,61.03,54,17,8.55,BR,1628099861
San Cristobal,7.7669,-72.225,78.98,63,95,7.0,VE,1628099618
Shache,38.4167,77.2406,79.74,26,79,0.47,CN,1628099861
Ribeira Grande,38.5167,-28.7,79.2,73,20,14.97,PT,1628099862
Provideniya,64.3833,-173.3,53.56,82,100,19.53,RU,1628099862
Tevaitoa,-16.7833,-151.5,78.53,79,66,13.53,PF,1628099863
Severo-Kuril'sk,50.6789,156.125,51.12,82,94,12.82,RU,1628099863
Mossamedes,-15.1961,12.1522,69.75,67,4,10.76,AO,1628099864
Krasnogorsk,55.8225,37.3181,65.17,77,0,6.71,RU,1628099864
Vila Velha,-20.3297,-40.2925,75.15,60,20,18.41,BR,1628099770
Saint George,37.1041,-113.5841,99.07,20,1,5.01,US,1628099865
Dingle,10.9995,122.6711,78.46,87,65,9.35,PH,1628099865
New Norfolk,-42.7826,147.0587,47.71,69,99,1.99,AU,1628099865
Anadyr,64.75,177.4833,54.1,93,75,17.0,RU,1628099866
Naze,28.3667,129.4833,78.26,86,78,17.2,JP,1628099866
Burgersdorp,-30.9977,26.3286,54.52,33,1,6.4,ZA,1628099867
Dikson,73.5069,80.5464,44.24,93,32,1.23,RU,1628099867
Puerto Ayora,-0.7393,-90.3518,78.76,75,28,11.01,EC,1628099868
Saryg-Sep,51.5,95.6,56.93,89,86,4.21,RU,1628099868
Saskylakh,71.9167,114.0833,50.49,55,89,7.38,RU,1628099869
Saint-Louis,16.3333,-15.0,89.24,40,99,10.22,SN,1628099869
Primo Tapia,32.22,-116.9172,84.09,55,12,12.03,MX,1628099870
Sundarnagar,31.5333,76.8833,74.97,92,15,2.75,IN,1628099870
Kahului,20.8947,-156.47,78.84,79,10,8.01,US,1628099871
Kieta,-6.2167,155.6333,77.76,85,49,4.5,PG,1628099871
Costineşti,43.95,28.6333,79.84,80,61,11.41,RO,1628099871
Mahébourg,-20.4081,57.7,70.09,68,75,21.94,MU,1628099872
Kisangani,0.5167,25.2,79.75,58,39,1.19,CD,1628099872
Semey,50.4111,80.2275,69.85,47,42,7.67,KZ,1628099873
Tautira,-17.7333,-149.15,78.82,77,83,15.03,PF,1628099873
Kruisfontein,-34.0033,24.7314,58.89,91,100,5.41,ZA,1628099873
Jalu,29.0331,21.5482,101.48,10,0,13.62,LY,1628099874
Yeola,20.0333,74.4833,75.6,82,71,18.03,IN,1628099874
Gallup,35.5281,-108.7426,81.01,23,0,3.0,US,1628099875
Butaritari,3.0707,172.7902,82.6,66,99,9.71,KI,1628099875
Iqaluit,63.7506,-68.5145,42.53,86,90,21.0,CA,1628099876
Beloha,-25.1667,45.05,64.58,76,0,13.44,MG,1628099876
Geraldton,-28.7667,114.6,48.61,81,0,10.36,AU,1628099876
Chancay,-11.5714,-77.2672,64.27,73,50,8.05,PE,1628099877
Hong Kong,22.2855,114.1577,82.45,93,100,1.01,HK,1628099877
Lithakia,37.7167,20.8333,87.17,59,1,12.48,GR,1628099878
Namatanai,-3.6667,152.4333,78.48,85,38,5.39,PG,1628099878
Port Alfred,-33.5906,26.891,62.78,88,40,6.78,ZA,1628099879
Pevek,69.7008,170.3133,37.99,97,97,7.67,RU,1628099879
Garden City,42.3256,-83.331,84.09,50,1,4.0,US,1628099837
Lincoln,40.8,-96.667,84.02,58,1,7.0,US,1628099627
Broome,42.2506,-75.833,79.57,54,100,1.01,US,1628099880
Bluff,-46.6,168.3333,35.8,76,100,3.71,NZ,1628099771
Carutapera,-1.195,-46.02,78.98,84,43,7.74,BR,1628099881
Longyearbyen,78.2186,15.6401,44.92,75,100,7.76,SJ,1628099881
Yar-Sale,66.8333,70.8333,60.42,72,17,3.53,RU,1628099882
Jamestown,42.097,-79.2353,79.18,52,1,1.01,US,1628099758
Hermanus,-34.4187,19.2345,58.89,93,33,5.59,ZA,1628099883
Codrington,-38.2667,141.9667,50.88,88,45,11.14,AU,1628099776
Bilma,18.6853,12.9164,98.92,25,30,11.43,NE,1628099883
Lompoc,34.6391,-120.4579,92.12,82,40,10.36,US,1628099884
Mangalore,12.8667,74.8833,79.66,89,75,0.0,IN,1628099698
Fairbanks,64.8378,-147.7164,69.1,62,63,1.01,US,1628099884
Souillac,-20.5167,57.5167,70.18,68,75,21.65,MU,1628099885
Santa Cruz de la Sierra,-17.8,-63.1667,80.06,25,75,13.8,BO,1628099675
Tacuarembó,-31.7333,-55.9833,65.43,45,63,8.43,UY,1628099885
Baykit,61.67,96.37,61.54,77,31,3.96,RU,1628099886
Victor Harbor,-35.5667,138.6167,53.91,90,59,9.15,AU,1628099886
Qaqortoq,60.7167,-46.0333,45.82,95,100,3.62,GL,1628099887
Salta,-24.7859,-65.4117,72.19,28,0,8.01,AR,1628099887
Melipilla,-33.7,-71.2167,70.72,48,0,4.29,CL,1628099887
Xinzhou,38.4092,112.7333,71.33,49,75,0.63,CN,1628099888
Bosaso,11.2842,49.1816,91.04,47,18,1.66,SO,1628099888
Port Keats,-14.25,129.55,72.16,32,9,12.08,AU,1628099889
Lagoa,39.05,-27.9833,72.84,88,0,13.02,PT,1628099889
Srednekolymsk,67.45,153.6833,37.51,95,100,7.7,RU,1628099890
Vardø,70.3705,31.1107,48.18,87,75,34.52,NO,1628099890
Gamba,-2.65,10.0,75.0,84,62,8.86,GA,1628099891
Isangel,-19.55,169.2667,67.28,71,85,2.04,VU,1628099891
Fort Nelson,58.8053,-122.7002,58.59,94,90,4.61,CA,1628099892
Belle Fourche,44.6714,-103.8522,83.48,46,88,8.43,US,1628099852
Mirny,62.5353,113.9611,60.49,94,100,6.35,RU,1628099892
Atambua,-9.1061,124.8925,69.6,87,42,5.95,ID,1628099893
Innisfail,-17.5333,146.0333,61.86,64,53,6.15,AU,1628099893
Bella Union,-30.2752,-57.6007,66.99,51,99,9.48,UY,1628099893
Kananga,-5.8958,22.4178,80.37,24,9,4.34,CD,1628099894
Iracoubo,5.4802,-53.2011,83.61,69,12,5.55,GF,1628099894
Menongue,-14.6585,17.691,64.72,25,0,5.44,AO,1628099895
Grand-Santi,4.25,-54.3833,85.82,69,15,3.15,GF,1628099896
Devgarh,25.5333,73.9,77.34,75,97,16.93,IN,1628099896
Chegutu,-18.1302,30.1407,60.31,29,0,3.31,ZW,1628099897
Panguna,-6.3164,155.4848,67.32,96,45,1.63,PG,1628099897
Yerbogachën,61.2767,108.0108,58.28,79,68,4.88,RU,1628099898
Aljezur,37.3191,-8.8033,70.75,78,73,14.85,PT,1628099898
Road Town,18.4167,-64.6167,84.24,84,40,8.05,VG,1628099859
Khakhea,-24.6895,23.494,62.38,29,0,7.2,BW,1628099899
Kaitangata,-46.2817,169.8464,46.92,66,100,10.0,NZ,1628099899
Bengkulu,-3.8004,102.2655,76.19,90,95,5.53,ID,1628099900
Berdigestyakh,62.0989,126.6992,58.32,59,92,3.49,RU,1628099900
Thompson,55.7435,-97.8558,55.56,76,90,12.66,CA,1628099901
Yellowknife,62.456,-114.3525,54.32,54,90,5.75,CA,1628099901
Lucapa,-8.4192,20.7447,74.52,23,2,1.23,AO,1628099902
Dukat,62.55,155.55,31.84,99,100,2.59,RU,1628099903
Rio Grande,-32.035,-52.0986,57.31,80,98,6.13,BR,1628099725
Camacha,33.0833,-16.3333,72.82,78,75,12.66,PT,1628099904
Tønder,54.9331,8.8667,68.0,61,39,1.01,DK,1628099904
Sabang,5.8933,95.3214,82.94,75,89,23.64,ID,1628099905
Nkhotakota,-12.9274,34.2961,66.38,55,0,2.59,MW,1628099905
Superior,46.7208,-92.1041,86.61,50,1,11.5,US,1628099906
George Town,5.4112,100.3354,81.95,85,20,2.3,MY,1628099870
Plácido de Castro,-10.3353,-67.1856,95.65,21,25,5.28,BR,1628099906
Demir Kapija,41.405,22.2489,93.02,21,48,8.81,MK,1628099907
Gushikawa,26.3544,127.8686,79.63,88,94,15.77,JP,1628099907
Mitsamiouli,-11.3847,43.2844,75.72,69,21,2.06,KM,1628099908
Palmer,42.1584,-72.3287,77.49,62,100,1.99,US,1628099908
Kathmandu,27.7167,85.3167,71.82,94,75,0.0,NP,1628099908
Vanimo,-2.6741,141.3028,77.4,87,62,3.29,PG,1628099909
Cabo San Lucas,22.8909,-109.9124,92.17,63,87,8.93,MX,1628099900
Upernavik,72.7868,-56.1549,45.57,77,5,5.53,GL,1628099910
Ende,-8.8432,121.6623,73.98,87,66,3.06,ID,1628099910
Russell,32.3502,-85.1999,86.79,61,75,5.75,US,1628099910
Sinnamary,5.3833,-52.95,84.49,68,12,8.88,GF,1628099911
Lorengau,-2.0226,147.2712,79.9,78,64,3.0,PG,1628099911
Stawell,-37.05,142.7667,48.16,85,82,5.82,AU,1628099912
Sitka,57.0531,-135.33,59.59,93,100,6.4,US,1628099912
San Vicente,-26.6167,-54.1333,73.69,22,12,2.8,AR,1628099913
Port Hedland,-20.3167,118.5667,71.65,17,40,12.66,AU,1628099887
Islamkot,24.6997,70.177,83.01,71,83,18.63,PK,1628099914
Chernyshevskiy,63.0128,112.4714,59.0,62,98,4.52,RU,1628099914
Quatre Cocos,-20.2078,57.7625,69.91,74,84,22.55,MU,1628099914
Iskitim,54.6366,83.3045,62.11,93,100,3.42,RU,1628099915
Barinas,8.6226,-70.2075,80.64,83,95,2.3,VE,1628099915
Lac du Bonnet,50.2536,-96.0612,77.59,29,100,8.34,CA,1628099916
Yulara,-25.2406,130.9889,46.24,49,1,8.05,AU,1628099916
Vestmannaeyjar,63.4427,-20.2734,56.12,85,98,9.22,IS,1628099916
Alice Springs,-23.7,133.8833,36.95,70,1,1.14,AU,1628099892
Te Anau,-45.4167,167.7167,35.85,92,100,1.88,NZ,1628099917
Bolotnoye,55.6717,84.3981,57.81,92,52,3.53,RU,1628099917
Norman Wells,65.282,-126.8329,51.84,71,90,4.61,CA,1628099918
Sangar,63.9242,127.4739,57.94,36,0,4.05,RU,1628099918
Meulaboh,4.1363,96.1285,76.71,87,96,5.41,ID,1628099919
Labuhan,-6.8844,112.2051,77.07,85,9,5.7,ID,1628099919
Cotonou,6.3654,2.4183,80.58,83,40,16.11,BJ,1628099920
Sandy Bay,-42.913,147.3532,48.09,73,95,1.99,AU,1628099920
Kysyl-Syr,63.8986,122.7617,60.64,50,51,2.77,RU,1628099921
Socorro,31.6546,-106.3033,88.11,41,20,4.61,US,1628099921
Krasnaya Gora,52.9995,31.6023,73.31,62,100,6.96,RU,1628099921
Chumikan,54.7183,135.315,52.11,95,100,7.49,RU,1628099922
Kraljevo,43.7258,20.6894,86.0,37,0,4.61,RS,1628099922
Jumla,29.2747,82.1838,63.81,94,100,2.64,NP,1628099923
Guiyang,26.5833,106.7167,72.09,78,0,2.24,CN,1628099923
Mathathane,-22.2687,28.7495,63.93,44,0,7.18,BW,1628099923
Rehoboth,-23.3167,17.0833,62.04,36,3,11.45,NA,1628099924
Puerto Escondido,15.85,-97.0667,83.05,73,100,6.78,MX,1628099924
Aklavik,68.2191,-135.0107,59.83,63,20,5.75,CA,1628099925
Okhotsk,59.3833,143.3,53.64,88,1,6.96,RU,1628099925
San Miguel de Tucumán,-26.8241,-65.2226,69.8,37,13,2.3,AR,1628099925
Kalmunai,7.4167,81.8167,81.64,73,92,3.94,LK,1628099926
Kyra,49.5776,111.9753,57.11,84,100,5.57,RU,1628099926
Brunswick,41.2381,-81.8418,81.91,44,0,3.0,US,1628099927
Birin,26.8865,88.0718,65.19,87,99,3.58,NP,1628099927
Río Tercero,-32.173,-64.1141,72.81,18,1,12.15,AR,1628099927
Sabzawār,36.2126,57.6819,85.66,19,55,17.05,IR,1628099928
Mildura,-34.2,142.15,47.07,100,40,6.91,AU,1628099928
Wittenberge,53.0,11.75,72.12,63,84,7.54,DE,1628099929
Plettenberg Bay,-34.0527,23.3716,58.12,92,100,4.79,ZA,1628099929
San Quintín,30.4833,-115.95,75.4,68,13,14.52,MX,1628099930
Manama,26.2154,50.5832,104.18,25,0,4.61,BH,1628099880
Uray,60.1247,64.7758,64.9,81,68,5.66,RU,1628099930
Ouro Preto do Oeste,-10.7481,-62.2158,96.01,19,21,5.7,BR,1628099931
Port Hardy,50.6996,-127.4199,64.58,88,75,5.75,CA,1628099931
Vana-Vigala,58.7806,24.2522,64.83,66,60,3.6,EE,1628099931
Banda Aceh,5.5577,95.3222,80.29,76,99,14.47,ID,1628099932
Coyhaique,-45.5752,-72.0662,45.21,75,0,3.44,CL,1628099932
Dakar,14.6937,-17.4441,86.13,79,40,6.91,SN,1628099875
Avarua,-21.2078,-159.775,73.45,64,18,6.91,CK,1628099933
Taloqan,36.7361,69.5345,81.25,17,0,5.57,AF,1628099934
Hastings,50.8552,0.5729,70.34,66,40,4.32,GB,1628099934
Huarmey,-10.0681,-78.1522,69.06,75,50,7.07,PE,1628099934
Sola,-13.8833,167.55,77.45,76,48,11.41,VU,1628099935
Kampong Thom,12.7111,104.8887,79.39,81,100,5.32,KH,1628099935
Kulhudhuffushi,6.6221,73.07,82.24,79,97,10.04,MV,1628099935
Lazarev,52.225,141.5131,53.91,96,100,7.18,RU,1628099936
Asău,46.4333,26.4,71.96,73,74,2.44,RO,1628099781
Saint-Pierre,-21.3393,55.4781,67.64,72,75,14.97,RE,1628099937
Ostrovnoy,68.0531,39.5131,49.5,90,100,10.07,RU,1628099937
Nikolskoye,59.7035,30.7861,62.49,65,75,1.12,RU,1628099938
Flin Flon,54.7682,-101.865,66.04,82,90,8.05,CA,1628099938
Jatai,-17.8814,-51.7144,79.79,19,91,8.61,BR,1628099877
Guntakal,15.1667,77.3833,77.79,72,77,18.14,IN,1628099939
Pacific Grove,36.6177,-121.9166,79.81,89,90,5.01,US,1628099939
Portland,45.5234,-122.6762,83.64,60,0,1.99,US,1628099831
Paracuru,-3.41,-39.0306,86.02,57,37,15.59,BR,1628099940
Belaya Gora,68.5333,146.4167,43.21,60,72,8.81,RU,1628099940
Pachino,36.7186,15.0907,98.64,72,0,10.83,IT,1628099940
Den Helder,52.9599,4.7593,67.96,74,40,14.0,NL,1628099941
Talnakh,69.4865,88.3972,66.31,62,58,2.82,RU,1628099941
Kalasin,16.5,103.5,83.05,99,97,11.61,TH,1628099942
Istok,42.7808,20.4875,88.72,40,59,6.02,XK,1628099942
Tiarei,-17.5333,-149.3333,78.82,77,81,13.31,PF,1628099942
Inhambane,-23.865,35.3833,60.78,82,0,6.35,MZ,1628099943
Erzin,36.9559,36.2,86.52,72,0,3.65,TR,1628099943
Khatanga,71.9667,102.5,63.0,49,100,11.99,RU,1628099944
Karratha,-20.7377,116.8463,70.0,28,54,17.18,AU,1628099944
Srandakan,-7.9386,110.2506,75.36,91,45,8.59,ID,1628099944
Gaya,24.7833,85.0,82.31,89,75,0.0,IN,1628099945
Polyarny,69.1989,33.4478,46.87,95,100,25.97,RU,1628099945
Martapura,-3.4167,114.85,77.09,100,100,3.44,ID,1628099946
Cidreira,-30.1811,-50.2056,62.64,86,95,6.76,BR,1628099946
Alamor,-4.0181,-80.0197,65.44,32,2,3.33,EC,1628099947
Carnarvon,-24.8667,113.6333,51.87,40,0,11.5,AU,1628099947
Kathu,7.9178,98.3332,84.69,89,91,19.98,TH,1628099948
Ipswich,52.0592,1.1555,71.35,64,26,7.4,GB,1628099948
Les Cayes,18.2,-73.75,86.97,57,42,13.38,HT,1628099949
Egvekinot,66.3167,-179.1667,51.49,86,97,11.36,RU,1628099949
Matagami,49.7502,-77.6328,71.71,46,1,13.8,CA,1628099949
Yeppoon,-23.1333,150.7333,46.18,51,0,11.41,AU,1628099950
La Grande,45.3246,-118.0877,82.62,25,22,3.11,US,1628099950
Muyezerskiy,63.9333,31.65,49.33,82,100,7.02,RU,1628099951
Port Lincoln,-34.7333,135.8667,53.62,82,86,10.51,AU,1628099951
Praia,14.9215,-23.5087,81.14,83,75,4.61,CV,1628099952
Wamba,8.9333,8.6,75.47,90,63,2.28,NG,1628099952
Ambon City,-3.6954,128.1814,75.34,94,40,5.75,ID,1628099953
Tilichiki,60.4667,166.1,40.12,93,100,7.16,RU,1628099953
Kenai,60.5544,-151.2583,61.03,88,75,0.0,US,1628099719
Mutoko,-17.397,32.2268,53.44,47,0,4.63,ZW,1628099954
Florida,28.7505,-82.5001,86.76,52,90,0.0,US,1628099844
Ponta do Sol,32.6667,-17.1,78.71,67,25,2.71,PT,1628099954
Chippewa Falls,44.9369,-91.3929,81.99,56,1,4.61,US,1628099703
Oranjemund,-28.55,16.4333,56.23,84,26,3.74,NA,1628099955
Ballina,-28.8667,153.5667,49.96,62,0,10.36,AU,1628099955
Caniço,32.6333,-16.85,78.71,77,40,16.11,PT,1628099956
Dunedin,-45.8742,170.5036,45.81,72,100,17.0,NZ,1628099956
Prymors'k,46.7348,36.3443,77.79,48,42,10.65,UA,1628099956
Santarém,-2.4431,-54.7083,87.93,74,20,5.75,BR,1628099729
Grindavik,63.8424,-22.4338,59.56,88,75,4.61,IS,1628099957
Wenling,28.3669,121.36,79.92,95,100,7.18,CN,1628099958
Palu,-0.8917,119.8707,76.3,94,76,2.84,ID,1628099958
Arrondissement de Narbonne,43.0833,2.8333,75.58,41,66,15.26,FR,1628099959
Berlevåg,70.8578,29.0864,48.2,87,75,32.21,NO,1628099959
Danville,36.586,-79.395,81.52,66,18,9.6,US,1628099931
Tromsø,69.6496,18.957,52.45,93,75,14.97,NO,1628099960
Havøysund,70.9963,24.6622,49.08,92,100,16.75,NO,1628099960
Tual,-5.6667,132.75,80.69,78,100,20.22,ID,1628099961
Nuevo Vigía,9.2447,-79.6086,89.06,74,92,2.1,PA,1628099961
Maragogi,-9.0122,-35.2225,75.9,82,80,12.37,BR,1628099961
Arraial do Cabo,-22.9661,-42.0278,71.56,68,20,13.8,BR,1628099962
Necochea,-38.5473,-58.7368,69.04,44,0,10.67,AR,1628099962
Balestrand,61.2076,6.5334,68.16,54,99,3.53,NO,1628099963
Yangi Marg`ilon,40.4272,71.7189,86.72,19,81,18.41,UZ,1628099963
Ürümqi,43.801,87.6005,83.35,25,0,4.47,CN,1628099672
Whitehorse,60.7161,-135.0538,65.1,63,75,10.0,CA,1628099963
Paola,39.3599,16.0396,88.81,37,33,3.36,IT,1628099964
Baghdad,33.3406,44.4009,105.71,20,0,8.05,IQ,1628099964
Wuwei,37.9281,102.6414,72.39,34,98,4.27,CN,1628099965
Salalah,17.0151,54.0924,76.35,93,100,4.63,OM,1628099965
Āsosa,10.0667,34.5333,60.57,95,46,2.55,ET,1628099966
Lethem,3.3803,-59.7968,83.52,70,64,5.59,GY,1628099966
Twin Falls,42.3505,-114.6445,91.76,15,0,8.23,US,1628099831
Faya,18.3851,42.4509,71.71,60,66,5.28,SA,1628099967
San Juan,-31.5375,-68.5364,72.37,18,0,6.15,AR,1628099838
Mareeba,-17.0,145.4333,59.72,68,18,2.86,AU,1628099967
Emirdağ,39.0197,31.15,79.18,30,0,8.34,TR,1628099968
Sarkand,45.41,79.9186,68.86,51,53,5.17,KZ,1628099968
Nanortalik,60.1432,-45.2371,45.91,93,100,4.32,GL,1628099968
Tutóia,-2.7619,-42.2744,87.78,68,58,8.16,BR,1628099969
Broken Hill,-31.95,141.4333,46.11,87,40,8.05,AU,1628099969
Lampazos de Naranjo,27.0167,-100.5167,89.46,46,99,4.05,MX,1628099970
Aktash,50.3,87.7333,44.42,83,70,1.63,RU,1628099971
Defiance,41.3334,-84.45,82.6,47,0,3.83,US,1628099833
Vangaindrano,-23.35,47.6,64.92,83,100,4.47,MG,1628099971
College,64.8569,-147.8028,68.0,62,65,1.01,US,1628099972
San Ignacio,17.1561,-89.0714,89.74,62,40,6.91,BZ,1628099973
Nieuwpoort,51.1244,2.7735,69.03,70,75,9.22,BE,1628099973
Port Bannatyne,55.8566,-5.065,70.63,77,45,10.51,GB,1628099974
Rantepao,-2.9701,119.8978,65.35,89,98,2.21,ID,1628099974
Qiongshan,20.0058,110.3542,80.58,83,0,8.95,CN,1628099975
Hokitika,-42.7167,170.9667,44.1,84,100,11.79,NZ,1628099975
Kavieng,-2.5744,150.7967,81.16,75,43,2.95,PG,1628099976
Saint-François,46.4154,3.9054,67.48,79,75,4.61,FR,1628099723
Bereda,43.2686,-7.5406,76.41,69,34,6.38,ES,1628099976
Ilulissat,69.2167,-51.1,46.11,63,0,3.51,GL,1628099977
Airai,-8.9266,125.4092,55.6,87,71,3.98,TL,1628099977
Ulaanbaatar,47.9077,106.8832,46.53,93,40,2.24,MN,1628099913
Kodinsk,58.6881,99.1844,62.51,66,63,2.24,RU,1628099978
Losevo,50.6767,40.045,68.43,52,12,5.35,RU,1628099978
Kirensk,57.7853,108.1119,57.78,97,100,3.31,RU,1628099979
Casper,42.8666,-106.3131,79.81,43,1,8.01,US,1628099979
Pisco,-13.7,-76.2167,65.01,77,90,6.91,PE,1628099980
Manjakandriana,-18.9167,47.8,55.09,96,100,6.06,MG,1628099980
Inuvik,68.3499,-133.7218,59.86,49,1,3.44,CA,1628099980
Charters Towers,-20.1,146.2667,49.66,40,19,12.66,AU,1628099981
Mayor Pablo Lagerenza,-19.9309,-60.7718,83.05,19,100,7.09,PY,1628099981
Lamlash,55.5336,-5.1296,69.28,79,37,12.59,GB,1628099982
Nakskov,54.8373,11.1284,66.15,62,6,5.41,DK,1628099982
Mount Gambier,-37.8333,140.7667,49.91,100,90,9.22,AU,1628099982
Ust'ye,59.6304,39.736,54.97,63,3,4.54,RU,1628099983
Etchoropo,26.7667,-109.6667,93.42,54,97,12.08,MX,1628099983
Vega de Alatorre,20.0333,-96.6333,87.15,62,97,6.2,MX,1628099984
Khovd,48.0056,91.6419,69.67,33,70,8.12,MN,1628099984
Rabaul,-4.1967,152.1721,78.44,83,21,6.55,PG,1628099985
